locality	Higher_GEO
Spain - Demarcación Marina Sudatlántica	Spain
Spanish Exclusive Economic Zone	Spain
Spanish Exclusive Economic Zone [Atlantic part]	Spain
Spanish Exclusive Economic Zone [Mediterranean part]	Spain
Spanish part of Gulf of Cadiz	Spain
Spanish part of the Balearic Sea	Spain
Spanish part of the Bay of Biscay	Spain
Spanish part of the Mediterranean Sea - Western Basin	Spain
Spanish part of the North Atlantic Ocean	Spain
Spanish part of the Strait of Gibraltar	Spain
Spuikom	Netherlands
St-Jacut	France
St. Margarets Bay	North America
Strait of Gibraltar	Spain
Strait of Sicily	Mediterranean
Strangford Lough	Ireland
Stroombank	Central Europe
Suez canal	Red Sea
Sussex	England
Sweden	Sweden
Swedish Exclusive Economic Zone	Sweden
Swedish part of the Gulf of Bothnia	Sweden
Swedish part of the Kattegat	Sweden
Swedish part of the Skagerrak	Sweden
Switzerland	Central Europe
Sydney	Australia
Syracuse	Italy
Syrian Exclusive Economic Zone	Mediterranean
Syrian part of the Mediterranean Sea - Eastern Basin	Mediterranean
Tahiti	Pacific Ocean
Tamar estuary	England
Tarrana	Mediterranean
Temperate Northern Atlantic	North Atlantic
Terneuzen	Netherlands
Terschelling	Netherlands
Texel	Netherlands
Thames Estuary	England
Thau Lagoon	Caribbean Sea
Torquay	England
Torre Inserraglio	Italy
Trondheim	Norway
Troon	Italy
Tunis Gulf	Mediterranean
Tunis Lagoon	Mediterranean
Tunisia	Mediterranean
Tunisian Exclusive Economic Zone	Mediterranean
Tunisian part of the Mediterranean Sea - Eastern Basin	Mediterranean
Tunisian part of the Mediterranean Sea - Western Basin	Mediterranean
Tunisian Plateau/Gulf of Sidra	Mediterranean
Turkey	Turkey
Turkish Aegean Sea	Turkey
Turkish Exclusive Economic Zone	Turkey
Turkish part of the Aegean Sea	Turkey
Turkish part of the Black Sea	Turkey
Turkish part of the Mediterranean Sea - Eastern Basin	Turkey
Turkmenistan	Central Asia
Tyrrhenian Sea	Mediterranean
UK	England
Ukraine	Ukraine
Ukrainian Exclusive Economic Zone	Ukraine
Ukrainian part of the Black Sea	Ukraine
Ukrainian part of the Sea of Azov	Ukraine
United Kingdom	England
United Kingdom Exclusive Economic Zone	England
United Kingdom part of the Bristol Channel	England
United Kingdom part of the Celtic Sea	England
United Kingdom part of the English Channel	England
United Kingdom part of the Inner Seas off the West Coast of Scotland	England
United Kingdom part of the Irish Sea and St. George's Channel	England
United Kingdom part of the North Atlantic Ocean	England
United Kingdom part of the North Sea	England
Ustica Island	Russia, Lake Baikal
Vainameri	Baltic Sea, Estonia
Varna	Black Sea
Veerse Meer	Netherlands
Villefranche-Sur-Mer	Mediterranean
Vistula lagoon	Baltic Sea, Poland
Vladivostok	Russia, Sea of Japan
Vlissingen	Netherlands
Volga	Russia, E Europe
Voordelta	Netherlands
Voormalige Zuiderzee	Netherlands
Vulcano Island	Philippines
Wadden Sea	Netherlands
Wales	England
Walsoorden	Netherlands
Wandelaar	Netherlands
Warm Temperate Southwestern Atlantic	SW Atlantic
Wemeldinge	Netherlands
Wenduine	Belgium
West Coast of England	England
West Coast of Ireland	Ireland
West Coast of Norway	Norway
West Coast of Scotland	England
West England	England
West Mediterranean	Mediterranean
West-Oléron	England
Westbout	England
Westenschouwen	Netherlands
Western Mediterranean	Mediterranean
Westerschelde	Netherlands
Westhinder	Netherlands
WestHinder lichtschip	Netherlands
Westkapelle	Netherlands
Westkust	Netherlands
White Sea	Finland
Wimereux	France
Wissenkerke	Netherlands
Yemeni part of the Gulf of Aden	Indian Ocean
Yerseke	Netherlands
Zandvoorde	Belgium
Zeebrugge	Belgium
Zeeland	Netherlands
Zeeschelde	Belgium
Zembra	Mediterranean
Zemmour	Algeria
Zierikzee	Netherlands
Zumaya	Spain
NA	NA
